pid,original_filename,label,artist,description,_date,medium,collection,source,order,layout,thumbnail,full,manifest
rijks_kasukawa_001,Acteur_Ichikawa_Ebizo_II_in_een_shibaraku_rol-Rijksmuseum_RP-P-1956-649.jpeg,Acteur Ichikawa Ebizo II in een shibaraku rol,Katsukawa Shunshō,,1772,paper,items,https://commons.wikimedia.org/wiki/File:Acteur_Ichikawa_Ebizo_II_in_een_shibaraku_rol-Rijksmuseum_RP-P-1956-649.jpeg,00,katsukawa_item,"/img/derivatives/iiif/images/rijks_kasukawa_001/full/250,/0/default.jpg",/img/derivatives/iiif/images/rijks_kasukawa_001/full/full/0/default.jpg,/img/derivatives/iiif/rijks_kasukawa_001/manifest.json
rijks_kasukawa_002,Acteur_Sawamura_Sojuro_II_klaar_om_te_vechten-Rijksmuseum_RP-P-1956-658,Acteur Sawamura Sojuro II klaar om te vechten,Katsukawa Shunshō,,between 1763 and 1767,paper,items,https://commons.wikimedia.org/wiki/File:Acteur_Sawamura_Sojuro_II_klaar_om_te_vechten-Rijksmuseum_RP-P-1956-658.jpeg,01,katsukawa_item,"/img/derivatives/iiif/images/rijks_kasukawa_002/full/250,/0/default.jpg",/img/derivatives/iiif/images/rijks_kasukawa_002/full/full/0/default.jpg,/img/derivatives/iiif/rijks_kasukawa_002/manifest.json
rijks_kasukawa_003,Acteur_Yamashita_Kinsaku_II_in_de_rol_van_de_courtisane_Agemaki-Rijksmuseum_RP-P-1956-655,Acteur Yamashita Kinsaku II in de rol van de courtisane Agemaki,Katsukawa Shunshō,,between 1773 and 1777,paper,items,https://commons.wikimedia.org/wiki/File:Acteur_Yamashita_Kinsaku_II_in_de_rol_van_de_courtisane_Agemaki-Rijksmuseum_RP-P-1956-655.jpeg,02,katsukawa_item,"/img/derivatives/iiif/images/rijks_kasukawa_003/full/250,/0/default.jpg",/img/derivatives/iiif/images/rijks_kasukawa_003/full/full/0/default.jpg,/img/derivatives/iiif/rijks_kasukawa_003/manifest.json
rijks_kasukawa_004,Acteurstriptiek-Rijksmuseum_RP-P-2008-246,Acteurstriptiek,Katsukawa Shunshō,,circa 1770,paper,items,https://commons.wikimedia.org/wiki/File:Acteurstriptiek-Rijksmuseum_RP-P-2008-246.jpeg,03,katsukawa_item,"/img/derivatives/iiif/images/rijks_kasukawa_004/full/250,/0/default.jpg",/img/derivatives/iiif/images/rijks_kasukawa_004/full/full/0/default.jpg,/img/derivatives/iiif/rijks_kasukawa_004/manifest.json
rijks_kasukawa_005,Acteur_Ichikawa_Danjuro_IV_in_de_rol_van_de_geest_Ki_no_Natora-Rijksmuseum_RP-P-1956-662.jpeg,The Actor Ichikawa Danjuro IV in the Role of the Spirit Ki no Natora,Katsukawa Shunshō,"Man with bushy hair and in grey clothing, holding a large stick in both hands.",1765,woodcut on paper,items,https://commons.wikimedia.org/wiki/File:Acteur_Ichikawa_Danjuro_IV_in_de_rol_van_de_geest_Ki_no_Natora-Rijksmuseum_RP-P-1956-662.jpeg,04,katsukawa_item,"/img/derivatives/iiif/images/rijks_kasukawa_005/full/250,/0/default.jpg",/img/derivatives/iiif/images/rijks_kasukawa_005/full/full/0/default.jpg,/img/derivatives/iiif/rijks_kasukawa_005/manifest.json
rijks_kasukawa_006,Acteur_Ichikawa_Yaozo_met_lang_zwaard-Rijksmuseum_RP-P-1956-651,The Actor Ichikawa Yaozō with Long Sword,Katsukawa Shunshō,"The actor Ichikawa Yaozō, in a robe with fan pattern, holding a sword in his left hand, standing in front of a washitsu, on a wooden verandaunderneath a roof.",1771,woodcut on paper,items,https://commons.wikimedia.org/wiki/File:Acteur_Ichikawa_Yaozo_met_lang_zwaard-Rijksmuseum_RP-P-1956-651.jpeg,05,katsukawa_item,"/img/derivatives/iiif/images/rijks_kasukawa_006/full/250,/0/default.jpg",/img/derivatives/iiif/images/rijks_kasukawa_006/full/full/0/default.jpg,/img/derivatives/iiif/rijks_kasukawa_006/manifest.json
rijks_kasukawa_007,Acteur_Nakamura_Nakazo_I_een_pilaar_optillend-Rijksmuseum_RP-P-1956-653,The Actor Nakamura Nakazo I Lifting a Column,Katsukawa Shunshō,"The actor Nakamura Nakazo I in the role of a samurai, on one knee, his left arm holding a stone column. On the background a stone torii. On the column the name of the Buddhist god Fudō-myōō is written. Left page of a diptych.",Between 1773 and 1777,woodcut on paper,items,https://commons.wikimedia.org/wiki/File:Acteur_Nakamura_Nakazo_I_een_pilaar_optillend-Rijksmuseum_RP-P-1956-653.jpeg,06,katsukawa_item,"/img/derivatives/iiif/images/rijks_kasukawa_007/full/250,/0/default.jpg",/img/derivatives/iiif/images/rijks_kasukawa_007/full/full/0/default.jpg,/img/derivatives/iiif/rijks_kasukawa_007/manifest.json
rijks_kasukawa_008,Acteur_in_de_rol_van_struikrover-Rijksmuseum_RP-P-1956-656,Actor in the Role of a Brigand,Katsukawa Shunshō,"Man wearing sandals, in black and orange clothing, holding a black lantern in his right hand and a sword in his left, standing in front of a reed fence.",Between 1780 and 1790,woodcut on paper,items,https://commons.wikimedia.org/wiki/File:Acteur_in_de_rol_van_struikrover-Rijksmuseum_RP-P-1956-656.jpeg,07,katsukawa_item,"/img/derivatives/iiif/images/rijks_kasukawa_008/full/250,/0/default.jpg",/img/derivatives/iiif/images/rijks_kasukawa_008/full/full/0/default.jpg,/img/derivatives/iiif/rijks_kasukawa_008/manifest.json
rijks_kasukawa_009,Minamoto_no_Yoritomo_en_Yuki_Onna_in_de_sneeuw.-Rijksmuseum_RP-P-2007-144,Minamoto no Yoritomo en Yuki Onna in de sneeuw.,Katsukawa Shunshō,,1770,paper,items,https://commons.wikimedia.org/wiki/File:Minamoto_no_Yoritomo_en_Yuki_Onna_in_de_sneeuw.-Rijksmuseum_RP-P-2007-144.jpeg,08,katsukawa_item,"/img/derivatives/iiif/images/rijks_kasukawa_009/full/250,/0/default.jpg",/img/derivatives/iiif/images/rijks_kasukawa_009/full/full/0/default.jpg,/img/derivatives/iiif/rijks_kasukawa_009/manifest.json
rijks_kasukawa_010,Twee_acteurs-Rijksmuseum_RP-P-2008-217.jpeg,Twee acteurs,Katsukawa Shunshō,,between 1780 and 1790,paper,items,https://commons.wikimedia.org/wiki/File:Twee_acteurs-Rijksmuseum_RP-P-2008-217.jpeg,09,katsukawa_item,"/img/derivatives/iiif/images/rijks_kasukawa_010/full/250,/0/default.jpg",/img/derivatives/iiif/images/rijks_kasukawa_010/full/full/0/default.jpg,/img/derivatives/iiif/rijks_kasukawa_010/manifest.json
